,prx,time (s),epc96
209,-32,41.60619,e280116060000205403ddcdb
1732,-50,41.619413,e280116060000209e445f02a
1733,-50,41.633367,e280116060000209e445f02a
1734,-50,41.64725,e280116060000209e445f02a
210,-32,41.659248,e280116060000205403ddcdb
211,-32,41.673057,e280116060000205403ddcdb
212,-32,41.686949,e280116060000205403ddcdb
213,-40,41.701091,e280116060000205403ddcdb
1735,-50,41.713407,e280116060000209e445f02a
214,-42,41.731542,e280116060000205403ddcdb
215,-43,41.749633,e280116060000205403ddcdb
1736,-48,41.764282,e280116060000209e445f02a
1737,-48,41.776372,e280116060000209e445f02a
1738,-48,41.788827,e280116060000209e445f02a
1739,-48,41.802106,e280116060000209e445f02a
216,-44,41.81511,e280116060000205403ddcdb
217,-44,41.827727,e280116060000205403ddcdb
1740,-48,41.842064,e280116060000209e445f02a
1741,-48,41.854856,e280116060000209e445f02a
218,-44,41.867204,e280116060000205403ddcdb
219,-44,41.879066,e280116060000205403ddcdb
1742,-48,41.890904,e280116060000209e445f02a
1743,-48,41.903716,e280116060000209e445f02a
220,-45,41.916413,e280116060000205403ddcdb
1744,-48,41.927944,e280116060000209e445f02a
1745,-49,41.946271,e280116060000209e445f02a
221,-45,41.961569,e280116060000205403ddcdb
222,-45,41.974666,e280116060000205403ddcdb
223,-45,41.986583,e280116060000205403ddcdb
1746,-48,41.999219,e280116060000209e445f02a
224,-45,42.012248,e280116060000205403ddcdb
1747,-48,42.027571,e280116060000209e445f02a
1748,-48,42.041092,e280116060000209e445f02a
225,-45,42.053083,e280116060000205403ddcdb
226,-45,42.065509,e280116060000205403ddcdb
1749,-48,42.079095,e280116060000209e445f02a
1750,-48,42.092821,e280116060000209e445f02a
227,-43,42.104758,e280116060000205403ddcdb
228,-43,42.117745,e280116060000205403ddcdb
229,-44,42.130279,e280116060000205403ddcdb
1751,-50,42.148734,e280116060000209e445f02a
1752,-49,42.16123,e280116060000209e445f02a
230,-44,42.173228,e280116060000205403ddcdb
231,-44,42.185526,e280116060000205403ddcdb
232,-44,42.19764,e280116060000205403ddcdb
233,-44,42.211667,e280116060000205403ddcdb
234,-44,42.223595,e280116060000205403ddcdb
235,-44,42.236014,e280116060000205403ddcdb
1753,-50,42.249084,e280116060000209e445f02a
236,-44,42.26103,e280116060000205403ddcdb
237,-44,42.273964,e280116060000205403ddcdb
238,-43,42.286075,e280116060000205403ddcdb
239,-44,42.298776,e280116060000205403ddcdb
240,-44,42.310363,e280116060000205403ddcdb
241,-44,42.32281,e280116060000205403ddcdb
242,-44,42.334876,e280116060000205403ddcdb
243,-44,42.353187,e280116060000205403ddcdb
1754,-49,42.365449,e280116060000209e445f02a
244,-43,42.377562,e280116060000205403ddcdb
245,-43,42.391296,e280116060000205403ddcdb
246,-43,42.4045,e280116060000205403ddcdb
1755,-49,42.416427,e280116060000209e445f02a
247,-43,42.428418,e280116060000205403ddcdb
248,-44,42.440322,e280116060000205403ddcdb
1756,-49,42.452581,e280116060000209e445f02a
1757,-50,42.465634,e280116060000209e445f02a
1758,-49,42.477991,e280116060000209e445f02a
1759,-50,42.492601,e280116060000209e445f02a
249,-32,42.506165,e280116060000205403ddcdb
1760,-50,42.51865,e280116060000209e445f02a
250,-32,42.530808,e280116060000205403ddcdb
251,-32,42.542824,e280116060000205403ddcdb
252,-31,42.563147,e280116060000205403ddcdb
1761,-51,42.575171,e280116060000209e445f02a
1762,-51,42.588331,e280116060000209e445f02a
253,-31,42.601316,e280116060000205403ddcdb
254,-40,42.614419,e280116060000205403ddcdb
1763,-51,42.627262,e280116060000209e445f02a
1764,-51,42.640567,e280116060000209e445f02a
255,-39,42.655918,e280116060000205403ddcdb
1765,-51,42.669552,e280116060000209e445f02a
256,-31,42.683128,e280116060000205403ddcdb
257,-30,42.696613,e280116060000205403ddcdb
258,-39,42.710028,e280116060000205403ddcdb
259,-30,42.722201,e280116060000205403ddcdb
260,-30,42.735053,e280116060000205403ddcdb
261,-38,42.753551,e280116060000205403ddcdb
1766,-49,42.765378,e280116060000209e445f02a
1767,-50,42.778187,e280116060000209e445f02a
1768,-50,42.79081,e280116060000209e445f02a
1769,-50,42.80292,e280116060000209e445f02a
262,-41,42.817195,e280116060000205403ddcdb
263,-37,42.831581,e280116060000205403ddcdb
264,-39,42.843764,e280116060000205403ddcdb
265,-39,42.856409,e280116060000205403ddcdb
1770,-49,42.869808,e280116060000209e445f02a
266,-41,42.882007,e280116060000205403ddcdb
1771,-50,42.895551,e280116060000209e445f02a
1772,-50,42.910327,e280116060000209e445f02a
267,-44,42.923084,e280116060000205403ddcdb
268,-45,42.935435,e280116060000205403ddcdb
1773,-49,42.954566,e280116060000209e445f02a
1774,-49,42.967788,e280116060000209e445f02a
1775,-49,42.979418,e280116060000209e445f02a
269,-45,42.993139,e280116060000205403ddcdb
270,-45,43.006957,e280116060000205403ddcdb
1776,-49,43.020538,e280116060000209e445f02a
271,-45,43.032587,e280116060000205403ddcdb
272,-45,43.044903,e280116060000205403ddcdb
1777,-49,43.056941,e280116060000209e445f02a
1778,-49,43.070541,e280116060000209e445f02a
1779,-49,43.082028,e280116060000209e445f02a
1780,-49,43.094881,e280116060000209e445f02a
1781,-49,43.107046,e280116060000209e445f02a
1782,-49,43.11999,e280116060000209e445f02a
273,-45,43.132104,e280116060000205403ddcdb
274,-45,43.155298,e280116060000205403ddcdb
1783,-50,43.16805,e280116060000209e445f02a
1784,-50,43.180969,e280116060000209e445f02a
1785,-49,43.192965,e280116060000209e445f02a
1786,-50,43.20629,e280116060000209e445f02a
275,-45,43.219182,e280116060000205403ddcdb
1787,-50,43.23196,e280116060000209e445f02a
276,-45,43.244014,e280116060000205403ddcdb
277,-45,43.255861,e280116060000205403ddcdb
278,-45,43.270944,e280116060000205403ddcdb
279,-45,43.283052,e280116060000205403ddcdb
1788,-50,43.295269,e280116060000209e445f02a
1789,-50,43.30851,e280116060000209e445f02a
280,-42,43.325522,e280116060000205403ddcdb
281,-42,43.337636,e280116060000205403ddcdb
282,-41,43.355622,e280116060000205403ddcdb
283,-41,43.368071,e280116060000205403ddcdb
1790,-49,43.381516,e280116060000209e445f02a
284,-40,43.396856,e280116060000205403ddcdb
285,-40,43.409412,e280116060000205403ddcdb
