,distance,time (s)
186,15.009828899089085,36.40663
187,15.222510651331845,36.445386
188,15.435192403574607,36.48582
189,15.553348932598364,36.541497
190,15.67150546162212,36.56898
191,15.789661990645877,36.582157
192,15.907818519669632,36.621688
193,16.02597504869339,36.661167
194,16.144131577717147,36.685667
195,16.2622881067409,36.723514
196,16.380444635764658,36.737771
197,16.498601164788415,36.81919
198,16.690659467684277,36.856353
199,16.882717770580136,36.881298
200,17.074776073476,36.918036
201,17.36286352781979,36.958981
202,17.650950982163582,37.017605
203,17.843009285059445,37.054989
204,18.035067587955304,37.092106
205,18.227125890851166,37.128842
206,18.06411553093583,37.166098
207,17.901105171020493,37.211044
208,17.738094811105157,37.252964
209,17.57508445118982,37.294515
210,17.412074091274484,37.335272
211,17.249063731359147,37.377272
212,17.08605337144381,37.418524
213,17.004548191486144,37.45472
214,16.923043011528474,37.492087
215,16.760032651613137,37.529273
216,16.5970222916978,37.567052
217,16.434011931782464,37.59095
218,16.271001571867128,37.628102
219,16.16156961375822,37.642037
220,16.052137655649314,37.681167
221,15.942705697540406,37.75689
222,15.8332737394315,37.818598
223,15.778557760377046,37.855464
224,15.723841781322593,37.880412
225,15.614409823213686,37.919422
226,15.50497786510478,37.960617
227,15.395545906995872,38.001941
228,15.286113948886964,38.043225
229,15.176681990778057,38.080827
230,15.06725003266915,38.118157
231,14.754375256012516,38.143985
232,14.44150047935588,38.185694
233,14.128625702699248,38.228467
234,13.815750926042613,38.265661
235,13.502876149385978,38.302765
236,13.190001372729343,38.32708
237,12.87712659607271,38.367361
238,12.564251819416075,38.381392
239,12.25137704275944,38.428325
240,11.938502266102805,38.470105
241,11.62562748944617,38.509543
242,11.312752712789536,38.562228
243,10.999877936132902,38.59848
244,10.924624422313375,38.64099
245,10.849370908493848,38.682626
246,10.77411739467432,38.723952
247,10.698863880854793,38.764524
248,10.623610367035266,38.802652
249,10.548356853215738,38.845462
250,10.523272348609229,38.883243
251,10.49818784400272,38.920464
252,10.47310333939621,38.959033
253,10.397849825576683,39.000594
254,10.322596311757156,39.045946
255,10.247342797937629,39.059939
256,10.172089284118101,39.100598
257,10.418927936595281,39.140459
258,10.66576658907246,39.18132
259,10.91260524154964,39.266233
260,11.159443894026818,39.303971
261,11.406282546503999,39.342483
262,12.640475808889894,39.380637
263,12.949024124486368,39.422476
264,13.257572440082843,39.464478
265,13.566120755679316,39.505899
266,13.87466907127579,39.560838
267,13.962825732874782,39.602062
268,14.050982394473776,39.647917
269,14.139139056072768,39.686015
270,14.22729571767176,39.723392
271,14.315452379270752,39.760628
272,14.403609040869746,39.797842
273,14.491765702468738,39.841069
274,14.57992236406773,39.879865
275,14.668079025666724,39.920699
276,14.756235687265717,39.961744
277,14.844392348864709,40.002837
278,14.932549010463703,40.047917
279,15.020705672062695,40.086027
280,15.108862333661687,40.127331
281,15.238839917184723,40.168719
282,15.368817500707761,40.209726
283,15.498795084230798,40.254266
284,15.628772667753836,40.292326
285,15.758750251276872,40.333681
286,16.408638168892058,40.374925
287,16.625267474763785,40.4159
288,16.841896780635516,40.460062
289,17.058526086507243,40.498059
290,17.166840739443106,40.54011
291,17.27515539237897,40.581547
292,17.383470045314837,40.622612
293,17.4917846982507,40.666277
294,17.600099351186564,40.69063
295,17.708414004122428,40.727885
296,17.548282841440415,40.76573
297,17.468217260099408,40.803267
298,17.3881516787584,40.840009
299,17.33477462453106,40.882719
300,17.281397570303724,40.920213
301,17.228020516076384,40.961202
302,17.174643461849048,40.999074
303,17.121266407621707,41.039772
304,17.06788935339437,41.086493
305,17.014512299167034,41.128067
306,16.961135244939694,41.165084
307,16.907758190712357,41.205688
308,16.882916678900994,41.244181
309,16.85807516708963,41.277601
310,16.8083921434669,41.317219
311,16.783550631655537,41.354511
312,16.758709119844173,41.391659
313,16.709026096221447,41.428291
314,16.659343072598716,41.48983
315,16.60966004897599,41.526892
316,16.559977025353263,41.564425
317,16.510294001730532,41.588639
318,16.460610978107805,41.626841
319,16.34548623717262,41.669422
320,16.230361496237432,41.719693
321,16.11523675530225,41.76029
322,16.000112014367062,41.801005
323,15.884987273431875,41.842376
324,15.76986253249669,41.856601
325,15.654737791561503,41.884917
326,15.539613050626318,41.920922
327,15.424488309691132,41.959201
328,15.309363568755947,42.012442
329,15.19423882782076,42.037051
330,15.079114086885575,42.074139
331,14.963989345950388,42.110645
332,14.69327469457999,42.135685
333,14.422560043209595,42.174429
334,14.151845391839197,42.212264
335,13.881130740468802,42.254167
336,13.610416089098404,42.301985
337,13.339701437728007,42.315947
338,13.06898678635761,42.357461
339,12.798272134987213,42.398908
340,12.527557483616818,42.454154
341,12.25684283224642,42.497378
342,11.986128180876022,42.53462
343,11.715413529505625,42.572509
344,11.44469887813523,42.597625
345,11.299381512804091,42.636375
346,11.154064147472951,42.681871
347,11.081405464807382,42.720723
348,11.008746782141813,42.75979
349,10.863429416810675,42.784668
350,10.718112051479537,42.863301
351,10.572794686148397,42.883111
352,10.427477320817259,42.920955
353,10.28215995548612,42.958324
354,10.136842590154982,42.997938
355,9.991525224823842,43.0391
356,9.846207859492704,43.096845
357,10.496382278869852,43.135112
358,11.146556698247,43.176402
359,11.796731117624148,43.218199
360,12.446905537001296,43.255191
361,13.747254375755592,43.297462
362,14.39742879513274,43.338669
363,15.047603214509888,43.379379
364,15.372690424198462,43.420332
365,15.697777633887036,43.461292
366,16.02286484357561,43.474905
367,16.347952053264184,43.50323
368,17.64830089201848,43.556174
369,17.698314308893643,43.595314
370,17.74832772576881,43.636669
371,17.798341142643974,43.675747
372,17.84835455951914,43.722591
373,17.898367976394304,43.761489
374,17.94838139326947,43.798408
375,17.998394810144635,43.83637
376,18.048408227019802,43.898166
377,18.098421643894966,43.937613
378,18.148435060770133,43.978915
379,18.198448477645297,43.99261
380,18.248461894520464,44.031494
381,18.298475311395627,44.069344
382,18.34848872827079,44.112205
383,18.398502145145958,44.136595
384,18.44851556202112,44.174274
385,18.49852897889629,44.211081
386,18.548542395771452,44.24929
387,18.59855581264662,44.313188
388,18.648569229521783,44.350651
389,18.69858264639695,44.38773
390,18.748596063272114,44.425783
391,18.79860948014728,44.468167
392,18.848622897022445,44.532507
393,18.89863631389761,44.575378
394,18.948649730772775,44.612002
395,18.857561997208876,44.649988
396,18.834790063817902,44.68991
397,18.812018130426928,44.707446
398,18.78924619703595,44.746243
399,18.766474263644977,44.785655
400,18.720930396863025,44.824466
401,18.675386530081077,44.862139
402,18.62984266329913,44.903593
403,18.584298796517178,44.931985
404,18.49321106295328,44.969566
405,18.44766719617133,45.010613
406,18.40212332938938,45.090898
407,18.31103559582548,45.111195
408,18.13698313592076,45.136723
409,18.078965649285855,45.210696
410,18.02094816265095,45.248069
411,17.962930676016043,45.260763
412,17.788878216111325,45.284186
413,17.614825756206606,45.327319
414,17.440773296301888,45.364789
415,17.266720836397166,45.40213
416,17.092668376492448,45.439694
417,16.91861591658773,45.476516
418,16.74456345668301,45.522327
419,16.570510996778292,45.563622
420,16.396458536873574,45.618699
421,16.08604615120316,45.657324
422,15.775633765532744,45.693869
423,15.465221379862328,45.735987
424,15.154808994191914,45.775811
425,14.844396608521498,45.817231
426,14.533984222851082,45.857975
427,14.223571837180668,45.897296
428,13.913159451510252,45.94093
429,13.602747065839838,45.97766
430,13.292334680169422,46.015748
431,12.981922294499007,46.055086
432,12.671509908828591,46.096346
433,12.460825144696281,46.140256
434,12.250140380563973,46.181185
435,12.039455616431663,46.242659
436,11.828770852299353,46.280471
437,11.618086088167045,46.321694
438,11.407401324034735,46.36305
439,11.196716559902425,46.403166
440,10.986031795770117,46.440193
441,10.775347031637807,46.481168
442,10.564662267505497,46.541924
443,10.353977503373187,46.580769
444,10.143292739240879,46.620898
445,10.063674592023649,46.657649
446,9.984056444806416,46.694891
447,9.824820150371954,46.719003
448,9.665583855937491,46.756448
449,9.506347561503029,46.781363
450,9.347111267068566,46.819629
451,9.187874972634104,46.856774
452,9.028638678199641,46.894438
453,8.869402383765179,46.930964
454,8.710166089330716,46.975863
455,8.550929794896254,47.015271
456,8.391693500461791,47.052266
457,8.338614735650303,47.105439
458,8.285535970838817,47.15125
459,8.232457206027329,47.192846
460,8.955117148419625,47.232755
461,9.196003795883723,47.269107
462,9.43689044334782,47.310614
463,9.677777090811919,47.35853
464,10.400437033204215,47.398988
465,10.46065869507024,47.438382
466,10.520880356936264,47.475733
467,10.581102018802289,47.512595
468,10.641323680668313,47.549743
469,10.701545342534338,47.587998
470,10.761767004400362,47.628851
471,10.821988666266387,47.670501
472,10.882210328132413,47.712631
473,10.942431989998436,47.797346
474,11.002653651864462,47.837384
475,11.062875313730485,47.875894
476,11.12309697559651,47.914181
477,11.22631390340956,47.955623
478,11.329530831222607,47.974988
479,11.432747759035657,48.016924
480,11.535964686848706,48.053435
481,11.639181614661755,48.094476
482,11.742398542474803,48.136212
483,11.845615470287852,48.163548
484,11.938487347172321,48.182866
485,12.031359224056793,48.224417
486,12.124231100941262,48.266081
487,12.217102977825734,48.305645
488,12.309974854710203,48.343461
489,12.402846731594675,48.387103
490,12.495718608479145,48.425547
491,12.588590485363616,48.465333
492,12.681462362248086,48.501996
493,12.774334239132557,48.541583
494,12.867206116017027,48.589052
495,13.888796761746203,48.626897
496,14.232993725562455,48.664283
497,14.577190689378705,48.702046
498,14.749289171286831,48.743012
499,14.921387653194955,48.804971
500,15.093486135103081,48.8417
501,15.265584617011207,48.879616
502,15.437683098919333,48.917588
503,15.609781580827459,48.981662
504,15.781880062735583,48.999327
505,15.953978544643709,49.025405
506,16.29817550845996,49.062978
507,16.64237247227621,49.102668
508,16.6281430756397,49.140907
509,16.613913679003186,49.182192
510,16.58545488573016,49.224452
511,16.556996092457137,49.26339
512,16.528537299184112,49.305109
513,16.500078505911087,49.346201
514,16.471619712638063,49.387526
515,16.44316091936504,49.403797
516,16.414702126092017,49.441919
517,16.386243332818992,49.468078
518,16.357784539545968,49.505344
519,16.329325746272943,49.543007
520,16.300866952999918,49.581819
521,16.272408159726893,49.626869
522,16.112630760845832,49.663593
523,15.952853361964772,49.700543
524,15.793075963083712,49.741267
525,15.633298564202653,49.784885
526,15.473521165321591,49.826641
527,15.313743766440531,49.865631
528,15.15396636755947,49.928668
529,14.99418896867841,49.967705
530,14.83441156979735,50.030586
531,14.674634170916288,50.067673
532,14.514856772035229,50.107908
533,14.350060501333688,50.174418
534,14.18526423063215,50.23127
535,14.02046795993061,50.267778
536,13.85567168922907,50.305268
537,13.69087541852753,50.342257
538,13.526079147825989,50.367316
